LSOA,Local Authority (LA) Name
W01001169,Rhondda Cynon Taf
W01001170,Rhondda Cynon Taf
W01001171,Rhondda Cynon Taf
W01001172,Rhondda Cynon Taf
W01001173,Rhondda Cynon Taf
W01001174,Rhondda Cynon Taf
W01001175,Rhondda Cynon Taf
W01001176,Rhondda Cynon Taf
W01001177,Rhondda Cynon Taf
W01001178,Rhondda Cynon Taf
W01001179,Rhondda Cynon Taf
W01001180,Rhondda Cynon Taf
W01001181,Rhondda Cynon Taf
W01001182,Rhondda Cynon Taf
W01001183,Rhondda Cynon Taf
W01001184,Rhondda Cynon Taf
W01001185,Rhondda Cynon Taf
W01001186,Rhondda Cynon Taf
W01001187,Rhondda Cynon Taf
W01001188,Rhondda Cynon Taf
W01001189,Rhondda Cynon Taf
W01001190,Rhondda Cynon Taf
W01001191,Rhondda Cynon Taf
W01001192,Rhondda Cynon Taf
W01001193,Rhondda Cynon Taf
W01001194,Rhondda Cynon Taf
W01001195,Rhondda Cynon Taf
W01001196,Rhondda Cynon Taf
W01001197,Rhondda Cynon Taf
W01001198,Rhondda Cynon Taf
W01001199,Rhondda Cynon Taf
W01001200,Rhondda Cynon Taf
W01001201,Rhondda Cynon Taf
W01001202,Rhondda Cynon Taf
W01001203,Rhondda Cynon Taf
W01001204,Rhondda Cynon Taf
W01001205,Rhondda Cynon Taf
W01001206,Rhondda Cynon Taf
W01001207,Rhondda Cynon Taf
W01001208,Rhondda Cynon Taf
W01001209,Rhondda Cynon Taf
W01001210,Rhondda Cynon Taf
W01001211,Rhondda Cynon Taf
W01001212,Rhondda Cynon Taf
W01001213,Rhondda Cynon Taf
W01001214,Rhondda Cynon Taf
W01001215,Rhondda Cynon Taf
W01001216,Rhondda Cynon Taf
W01001217,Rhondda Cynon Taf
W01001218,Rhondda Cynon Taf
W01001219,Rhondda Cynon Taf
W01001220,Rhondda Cynon Taf
W01001221,Rhondda Cynon Taf
W01001222,Rhondda Cynon Taf
W01001223,Rhondda Cynon Taf
W01001224,Rhondda Cynon Taf
W01001225,Rhondda Cynon Taf
W01001226,Rhondda Cynon Taf
W01001227,Rhondda Cynon Taf
W01001228,Rhondda Cynon Taf
W01001229,Rhondda Cynon Taf
W01001230,Rhondda Cynon Taf
W01001231,Rhondda Cynon Taf
W01001232,Rhondda Cynon Taf
W01001233,Rhondda Cynon Taf
W01001234,Rhondda Cynon Taf
W01001235,Rhondda Cynon Taf
W01001236,Rhondda Cynon Taf
W01001237,Rhondda Cynon Taf
W01001238,Rhondda Cynon Taf
W01001239,Rhondda Cynon Taf
W01001240,Rhondda Cynon Taf
W01001241,Rhondda Cynon Taf
W01001242,Rhondda Cynon Taf
W01001243,Rhondda Cynon Taf
W01001244,Rhondda Cynon Taf
W01001245,Rhondda Cynon Taf
W01001246,Rhondda Cynon Taf
W01001247,Rhondda Cynon Taf
W01001248,Rhondda Cynon Taf
W01001249,Rhondda Cynon Taf
W01001250,Rhondda Cynon Taf
W01001251,Rhondda Cynon Taf
W01001252,Rhondda Cynon Taf
W01001253,Rhondda Cynon Taf
W01001255,Rhondda Cynon Taf
W01001256,Rhondda Cynon Taf
W01001257,Rhondda Cynon Taf
W01001258,Rhondda Cynon Taf
W01001259,Rhondda Cynon Taf
W01001260,Rhondda Cynon Taf
W01001261,Rhondda Cynon Taf
W01001262,Rhondda Cynon Taf
W01001263,Rhondda Cynon Taf
W01001264,Rhondda Cynon Taf
W01001265,Rhondda Cynon Taf
W01001266,Rhondda Cynon Taf
W01001267,Rhondda Cynon Taf
W01001268,Rhondda Cynon Taf
W01001269,Rhondda Cynon Taf
W01001270,Rhondda Cynon Taf
W01001271,Rhondda Cynon Taf
W01001272,Rhondda Cynon Taf
W01001273,Rhondda Cynon Taf
W01001274,Rhondda Cynon Taf
W01001275,Rhondda Cynon Taf
W01001276,Rhondda Cynon Taf
W01001277,Rhondda Cynon Taf
W01001278,Rhondda Cynon Taf
W01001279,Rhondda Cynon Taf
W01001280,Rhondda Cynon Taf
W01001281,Rhondda Cynon Taf
W01001282,Rhondda Cynon Taf
W01001283,Rhondda Cynon Taf
W01001284,Rhondda Cynon Taf
W01001285,Rhondda Cynon Taf
W01001286,Rhondda Cynon Taf
W01001287,Rhondda Cynon Taf
W01001288,Rhondda Cynon Taf
W01001289,Merthyr Tydfil
W01001290,Merthyr Tydfil
W01001291,Merthyr Tydfil
W01001292,Merthyr Tydfil
W01001293,Merthyr Tydfil
W01001294,Merthyr Tydfil
W01001295,Merthyr Tydfil
W01001296,Merthyr Tydfil
W01001297,Merthyr Tydfil
W01001298,Merthyr Tydfil
W01001299,Merthyr Tydfil
W01001300,Merthyr Tydfil
W01001301,Merthyr Tydfil
W01001302,Merthyr Tydfil
W01001303,Merthyr Tydfil
W01001304,Merthyr Tydfil
W01001305,Merthyr Tydfil
W01001306,Merthyr Tydfil
W01001307,Merthyr Tydfil
W01001308,Merthyr Tydfil
W01001309,Merthyr Tydfil
W01001310,Merthyr Tydfil
W01001311,Merthyr Tydfil
W01001312,Merthyr Tydfil
W01001313,Merthyr Tydfil
W01001314,Merthyr Tydfil
W01001315,Merthyr Tydfil
W01001316,Merthyr Tydfil
W01001317,Merthyr Tydfil
W01001318,Merthyr Tydfil
W01001319,Merthyr Tydfil
W01001320,Merthyr Tydfil
W01001321,Merthyr Tydfil
W01001322,Merthyr Tydfil
W01001324,Merthyr Tydfil
W01001325,Caerphilly
W01001326,Caerphilly
W01001327,Caerphilly
W01001328,Caerphilly
W01001329,Caerphilly
W01001330,Caerphilly
W01001331,Caerphilly
W01001332,Caerphilly
W01001333,Caerphilly
W01001334,Caerphilly
W01001335,Caerphilly
W01001336,Caerphilly
W01001337,Caerphilly
W01001338,Caerphilly
W01001339,Caerphilly
W01001340,Caerphilly
W01001341,Caerphilly
W01001342,Caerphilly
W01001343,Caerphilly
W01001344,Caerphilly
W01001345,Caerphilly
W01001346,Caerphilly
W01001347,Caerphilly
W01001348,Caerphilly
W01001349,Caerphilly
W01001350,Caerphilly
W01001351,Caerphilly
W01001352,Caerphilly
W01001353,Caerphilly
W01001354,Caerphilly
W01001355,Caerphilly
W01001356,Caerphilly
W01001357,Caerphilly
W01001358,Caerphilly
W01001359,Caerphilly
W01001360,Caerphilly
W01001361,Caerphilly
W01001362,Caerphilly
W01001363,Caerphilly
W01001364,Caerphilly
W01001365,Caerphilly
W01001366,Caerphilly
W01001367,Caerphilly
W01001368,Caerphilly
W01001369,Caerphilly
W01001370,Caerphilly
W01001371,Caerphilly
W01001372,Caerphilly
W01001373,Caerphilly
W01001374,Caerphilly
W01001375,Caerphilly
W01001376,Caerphilly
W01001377,Caerphilly
W01001378,Caerphilly
W01001379,Caerphilly
W01001380,Caerphilly
W01001381,Caerphilly
W01001382,Caerphilly
W01001383,Caerphilly
W01001384,Caerphilly
W01001385,Caerphilly
W01001386,Caerphilly
W01001387,Caerphilly
W01001388,Caerphilly
W01001389,Caerphilly
W01001390,Caerphilly
W01001391,Caerphilly
W01001392,Caerphilly
W01001393,Caerphilly
W01001394,Caerphilly
W01001395,Caerphilly
W01001396,Caerphilly
W01001397,Caerphilly
W01001398,Caerphilly
W01001399,Caerphilly
W01001400,Caerphilly
W01001401,Caerphilly
W01001402,Caerphilly
W01001403,Caerphilly
W01001404,Caerphilly
W01001405,Caerphilly
W01001406,Caerphilly
W01001407,Caerphilly
W01001408,Caerphilly
W01001409,Caerphilly
W01001410,Caerphilly
W01001411,Caerphilly
W01001412,Caerphilly
W01001413,Caerphilly
W01001414,Caerphilly
W01001415,Caerphilly
W01001416,Caerphilly
W01001417,Caerphilly
W01001418,Caerphilly
W01001419,Caerphilly
W01001420,Caerphilly
W01001421,Caerphilly
W01001422,Caerphilly
W01001423,Caerphilly
W01001424,Caerphilly
W01001425,Caerphilly
W01001426,Caerphilly
W01001427,Caerphilly
W01001428,Caerphilly
W01001429,Caerphilly
W01001430,Caerphilly
W01001431,Caerphilly
W01001432,Caerphilly
W01001433,Caerphilly
W01001434,Caerphilly
W01001435,Blaenau Gwent
W01001436,Blaenau Gwent
W01001437,Blaenau Gwent
W01001438,Blaenau Gwent
W01001439,Blaenau Gwent
W01001440,Blaenau Gwent
W01001441,Blaenau Gwent
W01001442,Blaenau Gwent
W01001443,Blaenau Gwent
W01001444,Blaenau Gwent
W01001445,Blaenau Gwent
W01001446,Blaenau Gwent
W01001447,Blaenau Gwent
W01001448,Blaenau Gwent
W01001449,Blaenau Gwent
W01001450,Blaenau Gwent
W01001451,Blaenau Gwent
W01001452,Blaenau Gwent
W01001453,Blaenau Gwent
W01001454,Blaenau Gwent
W01001455,Blaenau Gwent
W01001456,Blaenau Gwent
W01001457,Blaenau Gwent
W01001458,Blaenau Gwent
W01001459,Blaenau Gwent
W01001460,Blaenau Gwent
W01001461,Blaenau Gwent
W01001462,Blaenau Gwent
W01001463,Blaenau Gwent
W01001464,Blaenau Gwent
W01001465,Blaenau Gwent
W01001466,Blaenau Gwent
W01001467,Blaenau Gwent
W01001468,Blaenau Gwent
W01001469,Blaenau Gwent
W01001470,Blaenau Gwent
W01001471,Blaenau Gwent
W01001472,Blaenau Gwent
W01001473,Blaenau Gwent
W01001474,Blaenau Gwent
W01001475,Blaenau Gwent
W01001476,Blaenau Gwent
W01001477,Blaenau Gwent
W01001478,Blaenau Gwent
W01001479,Blaenau Gwent
W01001480,Blaenau Gwent
W01001481,Blaenau Gwent
W01001482,Torfaen
W01001483,Torfaen
W01001484,Torfaen
W01001485,Torfaen
W01001486,Torfaen
W01001487,Torfaen
W01001488,Torfaen
W01001489,Torfaen
W01001490,Torfaen
W01001491,Torfaen
W01001492,Torfaen
W01001493,Torfaen
W01001494,Torfaen
W01001495,Torfaen
W01001496,Torfaen
W01001497,Torfaen
W01001498,Torfaen
W01001499,Torfaen
W01001500,Torfaen
W01001501,Torfaen
W01001502,Torfaen
W01001503,Torfaen
W01001504,Torfaen
W01001505,Torfaen
W01001506,Torfaen
W01001507,Torfaen
W01001508,Torfaen
W01001509,Torfaen
W01001510,Torfaen
W01001511,Torfaen
W01001512,Torfaen
W01001513,Torfaen
W01001514,Torfaen
W01001515,Torfaen
W01001516,Torfaen
W01001517,Torfaen
W01001518,Torfaen
W01001519,Torfaen
W01001520,Torfaen
W01001521,Torfaen
W01001522,Torfaen
W01001523,Torfaen
W01001524,Torfaen
W01001525,Torfaen
W01001526,Torfaen
W01001527,Torfaen
W01001528,Torfaen
W01001529,Torfaen
W01001530,Torfaen
W01001531,Torfaen
W01001532,Torfaen
W01001533,Torfaen
W01001534,Torfaen
W01001535,Torfaen
W01001536,Torfaen
W01001537,Torfaen
W01001538,Torfaen
W01001539,Torfaen
W01001540,Torfaen
W01001541,Torfaen
W01001542,Monmouthshire
W01001543,Monmouthshire
W01001545,Monmouthshire
W01001546,Monmouthshire
W01001548,Monmouthshire
W01001549,Monmouthshire
W01001551,Monmouthshire
W01001552,Monmouthshire
W01001553,Monmouthshire
W01001554,Monmouthshire
W01001555,Monmouthshire
W01001556,Monmouthshire
W01001557,Monmouthshire
W01001558,Monmouthshire
W01001559,Monmouthshire
W01001560,Monmouthshire
W01001561,Monmouthshire
W01001562,Monmouthshire
W01001563,Monmouthshire
W01001564,Monmouthshire
W01001565,Monmouthshire
W01001566,Monmouthshire
W01001567,Monmouthshire
W01001568,Monmouthshire
W01001569,Monmouthshire
W01001571,Monmouthshire
W01001572,Monmouthshire
W01001573,Monmouthshire
W01001574,Monmouthshire
W01001575,Monmouthshire
W01001576,Monmouthshire
W01001577,Monmouthshire
W01001578,Monmouthshire
W01001579,Monmouthshire
W01001580,Monmouthshire
W01001581,Monmouthshire
W01001582,Monmouthshire
W01001583,Monmouthshire
W01001584,Monmouthshire
W01001585,Monmouthshire
W01001586,Monmouthshire
W01001587,Monmouthshire
W01001588,Monmouthshire
W01001589,Monmouthshire
W01001590,Monmouthshire
W01001591,Monmouthshire
W01001592,Monmouthshire
W01001593,Monmouthshire
W01001594,Monmouthshire
W01001595,Monmouthshire
W01001596,Monmouthshire
W01001597,Monmouthshire
W01001598,Monmouthshire
W01001599,Monmouthshire
W01001600,Newport
W01001601,Newport
W01001602,Newport
W01001603,Newport
W01001604,Newport
W01001605,Newport
W01001606,Newport
W01001607,Newport
W01001608,Newport
W01001609,Newport
W01001610,Newport
W01001611,Newport
W01001612,Newport
W01001613,Newport
W01001614,Newport
W01001615,Newport
W01001616,Newport
W01001617,Newport
W01001618,Newport
W01001619,Newport
W01001620,Newport
W01001621,Newport
W01001622,Newport
W01001623,Newport
W01001624,Newport
W01001625,Newport
W01001626,Newport
W01001627,Newport
W01001628,Newport
W01001629,Newport
W01001630,Newport
W01001631,Newport
W01001632,Newport
W01001633,Newport
W01001634,Newport
W01001635,Newport
W01001636,Newport
W01001637,Newport
W01001638,Newport
W01001639,Newport
W01001640,Newport
W01001641,Newport
W01001642,Newport
W01001643,Newport
W01001644,Newport
W01001645,Newport
W01001646,Newport
W01001647,Newport
W01001648,Newport
W01001649,Newport
W01001650,Newport
W01001651,Newport
W01001652,Newport
W01001653,Newport
W01001654,Newport
W01001655,Newport
W01001657,Newport
W01001658,Newport
W01001659,Newport
W01001660,Newport
W01001661,Newport
W01001662,Newport
W01001663,Newport
W01001664,Newport
W01001665,Newport
W01001666,Newport
W01001667,Newport
W01001668,Newport
W01001669,Newport
W01001670,Newport
W01001671,Newport
W01001672,Newport
W01001673,Newport
W01001674,Newport
W01001675,Newport
W01001676,Newport
W01001677,Newport
W01001678,Newport
W01001679,Newport
W01001680,Newport
W01001681,Newport
W01001682,Newport
W01001683,Newport
W01001684,Newport
W01001685,Newport
W01001686,Newport
W01001687,Newport
W01001688,Newport
W01001689,Newport
W01001690,Newport
W01001691,Newport
W01001692,Newport
W01001693,Newport
W01001694,Cardiff
W01001695,Cardiff
W01001696,Cardiff
W01001697,Cardiff
W01001698,Cardiff
W01001699,Cardiff
W01001702,Cardiff
W01001703,Cardiff
W01001704,Cardiff
W01001705,Cardiff
W01001706,Cardiff
W01001707,Cardiff
W01001708,Cardiff
W01001709,Cardiff
W01001710,Cardiff
W01001711,Cardiff
W01001712,Cardiff
W01001713,Cardiff
W01001714,Cardiff
W01001715,Cardiff
W01001716,Cardiff
W01001717,Cardiff
W01001718,Cardiff
W01001719,Cardiff
W01001720,Cardiff
W01001721,Cardiff
W01001722,Cardiff
W01001724,Cardiff
W01001725,Cardiff
W01001726,Cardiff
W01001727,Cardiff
W01001728,Cardiff
W01001729,Cardiff
W01001730,Cardiff
W01001731,Cardiff
W01001732,Cardiff
W01001733,Cardiff
W01001734,Cardiff
W01001735,Cardiff
W01001736,Cardiff
W01001737,Cardiff
W01001738,Cardiff
W01001739,Cardiff
W01001740,Cardiff
W01001741,Cardiff
W01001742,Cardiff
W01001743,Cardiff
W01001744,Cardiff
W01001745,Cardiff
W01001746,Cardiff
W01001747,Cardiff
W01001748,Cardiff
W01001749,Cardiff
W01001750,Cardiff
W01001751,Cardiff
W01001752,Cardiff
W01001753,Cardiff
W01001754,Cardiff
W01001755,Cardiff
W01001756,Cardiff
W01001757,Cardiff
W01001758,Cardiff
W01001759,Cardiff
W01001760,Cardiff
W01001761,Cardiff
W01001762,Cardiff
W01001764,Cardiff
W01001765,Cardiff
W01001766,Cardiff
W01001767,Cardiff
W01001768,Cardiff
W01001769,Cardiff
W01001770,Cardiff
W01001771,Cardiff
W01001772,Cardiff
W01001773,Cardiff
W01001774,Cardiff
W01001775,Cardiff
W01001776,Cardiff
W01001777,Cardiff
W01001778,Cardiff
W01001779,Cardiff
W01001780,Cardiff
W01001781,Cardiff
W01001782,Cardiff
W01001783,Cardiff
W01001784,Cardiff
W01001785,Cardiff
W01001786,Cardiff
W01001787,Cardiff
W01001788,Cardiff
W01001789,Cardiff
W01001790,Cardiff
W01001791,Cardiff
W01001792,Cardiff
W01001793,Cardiff
W01001794,Cardiff
W01001795,Cardiff
W01001796,Cardiff
W01001797,Cardiff
W01001798,Cardiff
W01001799,Cardiff
W01001800,Cardiff
W01001802,Cardiff
W01001803,Cardiff
W01001804,Cardiff
W01001805,Cardiff
W01001806,Cardiff
W01001807,Cardiff
W01001808,Cardiff
W01001809,Cardiff
W01001810,Cardiff
W01001811,Cardiff
W01001812,Cardiff
W01001813,Cardiff
W01001814,Cardiff
W01001815,Cardiff
W01001816,Cardiff
W01001817,Cardiff
W01001818,Cardiff
W01001819,Cardiff
W01001820,Cardiff
W01001821,Cardiff
W01001822,Cardiff
W01001823,Cardiff
W01001824,Cardiff
W01001825,Cardiff
W01001826,Cardiff
W01001827,Cardiff
W01001828,Cardiff
W01001829,Cardiff
W01001830,Cardiff
W01001831,Cardiff
W01001832,Cardiff
W01001833,Cardiff
W01001834,Cardiff
W01001835,Cardiff
W01001836,Cardiff
W01001837,Cardiff
W01001838,Cardiff
W01001839,Cardiff
W01001840,Cardiff
W01001841,Cardiff
W01001842,Cardiff
W01001843,Cardiff
W01001844,Cardiff
W01001846,Cardiff
W01001847,Cardiff
W01001848,Cardiff
W01001849,Cardiff
W01001850,Cardiff
W01001851,Cardiff
W01001852,Cardiff
W01001853,Cardiff
W01001854,Cardiff
W01001855,Cardiff
W01001856,Cardiff
W01001857,Cardiff
W01001858,Cardiff
W01001859,Cardiff
W01001860,Cardiff
W01001861,Cardiff
W01001862,Cardiff
W01001863,Cardiff
W01001864,Cardiff
W01001865,Cardiff
W01001866,Cardiff
W01001867,Cardiff
W01001868,Cardiff
W01001869,Cardiff
W01001870,Cardiff
W01001871,Cardiff
W01001872,Cardiff
W01001873,Cardiff
W01001874,Cardiff
W01001875,Cardiff
W01001876,Cardiff
W01001877,Cardiff
W01001878,Cardiff
W01001879,Cardiff
W01001880,Cardiff
W01001881,Cardiff
W01001882,Cardiff
W01001883,Cardiff
W01001884,Cardiff
W01001885,Cardiff
W01001886,Cardiff
W01001887,Cardiff
W01001888,Cardiff
W01001889,Cardiff
W01001890,Cardiff
W01001891,Cardiff
W01001892,Cardiff
W01001893,Cardiff
W01001894,Cardiff
W01001895,Cardiff
W01001896,Cardiff
W01001897,Powys
W01001898,Merthyr Tydfil
W01001899,Powys
W01001900,Neath Port Talbot
W01001901,Powys
W01001902,Powys
W01001903,Powys
W01001904,Powys
W01001905,Powys
W01001906,Powys
W01001907,Powys
W01001908,Monmouthshire
W01001909,Monmouthshire
W01001910,Vale of Glamorgan
W01001911,Vale of Glamorgan
W01001912,Newport
W01001913,Newport
W01001914,Rhondda Cynon Taf
W01001915,Rhondda Cynon Taf
W01001916,Rhondda Cynon Taf
W01001917,Rhondda Cynon Taf
W01001918,Bridgend
W01001919,Bridgend
W01001920,Bridgend
W01001921,Bridgend
W01001922,Cardiff
W01001923,Carmarthenshire
W01001924,Carmarthenshire
W01001925,Carmarthenshire
W01001926,Conwy
W01001927,Conwy
W01001928,Conwy
W01001929,Wrexham
W01001930,Wrexham
W01001931,Wrexham
W01001932,Gwynedd
W01001933,Gwynedd
W01001934,Ceredigion
W01001935,Ceredigion
W01001936,Ceredigion
W01001937,Ceredigion
W01001938,Swansea
W01001939,Cardiff
W01001940,Cardiff
W01001941,Cardiff
W01001942,Cardiff
W01001943,Cardiff
W01001944,Cardiff
W01001945,Cardiff
W01001946,Cardiff
W01001947,Cardiff
W01001948,Cardiff
W01001949,Cardiff
W01001950,Cardiff
W01001951,Cardiff
W01001952,Cardiff
W01001953,Cardiff
W01001954,Cardiff
W01001955,Swansea
W01001956,Swansea
W01001957,Swansea
W01001958,Swansea
